company,industry,title,description,Tag,date,url,icon
Ramp,Fintech and banking,Better classify customers,From RAG to Richness: How Ramp Revamped Industry Classification,"RAG,LLM,ops",2025,https://engineering.ramp.com/industry_classification,fa-credit-card
Netflix,Media and streaming,Causal inference use cases,Round 2: A Survey of Causal Inference Applications at Netflix,causality,2024,https://netflixtechblog.com/round-2-a-survey-of-causal-inference-applications-at-netflix-fd78328ee0bb,fa-music
Picnic,Delivery and mobility,Create personalized shopping lists,Generating your shopping list with AI: recommendations at Picnic,recommender system,2024,https://blog.picnic.nl/generating-your-shopping-list-with-ai-recommendations-at-picnic-300e716241db,fa-truck
Algolia,Tech,Present online visitors with tailored content,Introducing AI Personalization (𝛽),"content personalization,product feature",2024,https://www.algolia.com/blog/product/introducing-ai-personalization/,fa-microchip
Uber,Delivery and mobility,Personalize Out-of-App communications,Personalized Marketing at Scale: Uber’s Out-of-App Recommendation System,recommender system,2024,https://www.uber.com/en-GB/blog/personalized-marketing-at-scale/ ,fa-truck
Gitlab,Tech,Testing quality of AI-generated outputs,Developing GitLab Duo: How we validate and test AI models at scale,"product feature,LLM,generative AI",2024,https://about.gitlab.com/blog/2024/05/09/developing-gitlab-duo-how-we-validate-and-test-ai-models-at-scale/,fa-microchip
LinkedIn,Social platforms,Recommend relevant products to users,Matching LinkedIn members with the right Premium products,product feature,2024,https://www.linkedin.com/blog/engineering/machine-learning/matching-linkedin-members-with-the-right-premium-products,fa-users
Swiggy,Delivery and mobility,Show product recommendations to new users,New-User Product Recommendations for Q-Commerce via Hierarchical Cross-Domain Learning,recommender system,2024,https://bytes.swiggy.com/new-user-product-recommendations-for-q-commerce-via-hierarchical-cross-domain-learning-0a7f97b25405,fa-truck
Picnic,Delivery and mobility,Improve search relevance for product listings,Enhancing Search Retrieval with Large Language Models (LLMs),"LLM,search,generative AI",2024,https://blog.picnic.nl/enhancing-search-retrieval-with-large-language-models-llms-7c3748b26d72,fa-truck
Careem,Delivery and mobility,Mitigate fraud risks with pre-authorisation,Temporary holds: Leveraging machine learning models to reduce fraud,fraud detection,2024,https://engineering.careem.com/tech/posts/temporary-holds-leveraging-machine-learning-models-to-reduce-fraud-while-improving-customer-experience,fa-truck
